id,dispatch_time,incident_type,priority_number,units_arrived_at_scene
7459,2023-06-10 17:51,Medical,9,3
7460,2023-10-02 07:36,Motor Vehicle Accident,5,4
7461,2023-07-09 20:37,Medical,4,1
7462,2023-03-12 15:46,Other,1,9
7463,2023-06-15 03:48,Airport Standby,1,5
7464,2023-03-09 10:57,Medical,3,3
7465,2023-05-06 03:37,Other,5,2
7466,2023-11-24 08:24,Medical,1,9
7467,2023-08-19 17:18,Medical,4,8
7468,2023-05-23 02:38,Medical,4,6
7469,2023-11-10 17:22,Other,3,9
7470,2023-01-20 11:33,Other,4,4
7471,2023-09-25 10:53,Emergency Transfer,5,10
7472,2023-06-29 16:57,Motor Vehicle Accident,1,3
7473,2023-07-30 15:07,Motor Vehicle Accident,4,5
7474,2023-03-12 23:52,Medical,4,5
7475,2023-02-15 16:42,Other,5,1
7476,2023-11-09 02:41,Fire,11,2
7477,2023-12-25 15:53,Other,4,3
7478,2023-03-09 23:21,Motor Vehicle Accident,3,5
7479,2023-11-15 15:29,Medical,9,9
7480,2023-04-26 10:31,Medical,3,9
7481,2023-08-17 17:13,Other,1,8
7482,2023-02-24 11:43,Motor Vehicle Accident,5,4
7483,2023-04-01 01:43,Fire,3,7
7484,2023-01-04 18:21,Motor Vehicle Accident,12,6
7485,2023-02-14 18:59,Other,4,6
7486,2023-12-14 12:57,Other,12,1
7487,2023-09-12 13:44,Medical,5,5
7488,2023-01-20 00:28,Motor Vehicle Accident,3,8
7489,2023-04-03 08:38,Other,11,10
7490,2023-10-10 19:51,Medical,14,5
7491,2023-04-24 04:49,Motor Vehicle Accident,4,4
7492,2023-05-26 13:07,Motor Vehicle Accident,1,6
7493,2023-06-15 12:22,Medical,3,5
7494,2023-02-09 17:49,Motor Vehicle Accident,1,11
7495,2023-05-26 12:31,Fire,12,10
7496,2023-09-16 08:23,Other,4,5
7497,2023-12-27 02:39,Fire,1,4
7498,2023-08-23 06:04,Medical,5,7
7499,2023-02-19 08:06,Fire,1,5
7500,2023-11-22 16:04,Other,13,1
7501,2023-05-22 19:08,Medical,13,4
7502,2023-02-14 21:57,Emergency Transfer,9,1
7503,2023-03-20 19:35,Motor Vehicle Accident,3,4
7504,2023-01-30 18:34,Other,12,7
7505,2023-02-23 00:40,Fire,5,9
7506,2023-06-13 20:29,Motor Vehicle Accident,5,5
7507,2023-12-22 16:01,Fire,1,4
7508,2023-04-06 21:44,Motor Vehicle Accident,5,1
7509,2023-03-30 23:26,Motor Vehicle Accident,3,8
7510,2023-04-12 01:07,Other,5,1
7511,2023-05-24 20:38,Motor Vehicle Accident,3,3
7512,2023-04-10 16:17,Other,4,0
7513,2023-01-25 02:06,Medical,11,8
7514,2023-09-13 17:53,Emergency Transfer,3,10
7515,2023-02-03 16:41,Motor Vehicle Accident,1,0
7516,2023-09-10 10:26,Medical,4,6
7517,2023-12-27 06:50,Motor Vehicle Accident,13,11
7518,2023-02-06 13:36,Fire,3,1
7519,2023-02-20 12:06,Motor Vehicle Accident,1,5
7520,2023-03-25 07:53,Other,4,6
7521,2023-12-15 06:53,Emergency Transfer,3,4
7522,2023-03-20 23:02,Medical,1,5
7523,2023-02-08 00:23,Medical,3,5
7524,2023-06-20 12:01,Other,5,3
7525,2023-07-01 11:16,Fire,4,3
7526,2023-07-16 22:08,Motor Vehicle Accident,4,6
7527,2023-10-10 17:23,Motor Vehicle Accident,5,3
7528,2023-10-12 04:29,Motor Vehicle Accident,4,7
7529,2023-11-13 00:37,Motor Vehicle Accident,1,7
7530,2023-03-31 03:05,Other,9,7
7531,2023-01-01 02:01,Motor Vehicle Accident,3,10
7532,2023-03-06 14:59,Medical,5,6
7533,2023-08-24 12:45,Fire,5,7
7534,2023-06-10 23:07,Other,4,6
7535,2023-07-12 05:02,Medical,3,5
7536,2023-05-04 01:58,Motor Vehicle Accident,4,8
7537,2023-08-17 22:46,Motor Vehicle Accident,3,3
7538,2023-07-27 15:44,Medical,3,7
7539,2023-02-14 01:07,Medical,4,9
7540,2023-09-19 09:45,Medical,5,3
7541,2023-01-18 00:41,Other,11,6
7542,2023-09-02 20:28,Motor Vehicle Accident,4,5
7543,2023-09-21 08:30,Emergency Transfer,4,6
7544,2023-01-16 13:51,Other,3,2
7545,2023-02-17 18:41,Medical,5,6
7546,2023-09-09 07:04,Airport Standby,4,4
7547,2023-04-30 22:29,Motor Vehicle Accident,4,3
7548,2023-01-23 16:29,Medical,14,10
7549,2023-02-18 17:50,Medical,9,3
7550,2023-01-16 17:22,Other,4,7
7551,2023-02-14 02:59,Other,3,9
7552,2023-10-10 09:17,Other,4,2
7553,2023-08-19 16:48,Medical,3,0
7554,2023-05-08 00:40,Other,1,3
7555,2023-01-02 04:40,Other,4,4
7556,2023-06-01 21:58,Other,5,7
7557,2023-03-04 21:17,Medical,5,6
7558,2023-06-26 21:09,Motor Vehicle Accident,4,8
7559,2023-03-21 03:57,Other,14,7
7560,2023-12-19 13:54,Fire,4,8
7561,2023-03-27 07:05,Medical,13,6
7562,2023-08-26 12:11,Airport Standby,5,11
7563,2023-11-03 13:24,Other,4,4
7564,2023-05-16 06:23,Medical,5,6
7565,2023-08-16 04:33,Fire,9,4
7566,2023-08-11 03:56,Other,3,3
7567,2023-08-05 22:55,Motor Vehicle Accident,5,8
7568,2023-02-19 18:15,Motor Vehicle Accident,4,6
7569,2023-03-23 08:57,Medical,4,2
7570,2023-06-16 12:55,Other,9,2
7571,2023-05-07 06:41,Fire,11,6
7572,2023-08-28 06:42,Motor Vehicle Accident,3,6
7573,2023-11-09 04:30,Motor Vehicle Accident,4,0
7574,2023-11-26 19:33,Emergency Transfer,4,8
7575,2023-08-10 06:04,Motor Vehicle Accident,3,3
7576,2023-02-11 02:06,Motor Vehicle Accident,5,8
7577,2023-10-17 00:31,Other,3,4
7578,2023-07-24 23:42,Medical,9,7
7579,2023-03-01 20:54,Medical,12,1
7580,2023-04-28 04:38,Medical,5,11
7581,2023-02-08 11:22,Motor Vehicle Accident,1,9
7582,2023-12-05 21:12,Medical,3,0
7583,2023-06-08 14:17,Motor Vehicle Accident,5,9
7584,2023-01-31 02:12,Medical,4,6
7585,2023-10-23 18:30,Fire,5,4
7586,2023-03-15 04:28,Medical,4,8
7587,2023-02-04 20:00,Medical,5,3
7588,2023-06-28 00:54,Other,5,2
7589,2023-07-25 04:11,Other,5,7
7590,2023-02-10 09:17,Other,4,6
7591,2023-03-03 16:19,Medical,3,1
7592,2023-10-12 20:11,Other,5,4
7593,2023-12-07 09:10,Medical,12,0
7594,2023-01-20 10:16,Fire,4,3
7595,2023-03-31 11:28,Medical,1,6
7596,2023-08-20 16:57,Motor Vehicle Accident,5,2
7597,2023-05-20 03:31,Motor Vehicle Accident,4,2
7598,2023-09-09 20:32,Motor Vehicle Accident,4,1
7599,2023-03-12 09:04,Motor Vehicle Accident,4,1
7600,2023-05-10 04:22,Airport Standby,4,5
7601,2023-04-26 19:33,Other,11,13
7602,2023-09-21 20:30,Motor Vehicle Accident,9,8
7603,2023-07-28 15:20,Other,11,4
7604,2023-02-24 20:54,Motor Vehicle Accident,4,6
7605,2023-10-20 22:49,Motor Vehicle Accident,3,5
7606,2023-06-03 23:18,Motor Vehicle Accident,4,6
7607,2023-12-16 05:43,Motor Vehicle Accident,4,6
7608,2023-06-21 16:26,Medical,3,7
7609,2023-01-30 10:14,Motor Vehicle Accident,1,4
7610,2023-09-26 00:56,Medical,4,8
7611,2023-10-06 04:41,Fire,14,4
7612,2023-12-08 04:49,Other,4,8
7613,2023-02-09 18:51,Motor Vehicle Accident,9,9
7614,2023-10-06 21:49,Motor Vehicle Accident,9,5
7615,2023-04-09 02:08,Other,4,1
7616,2023-06-11 15:51,Motor Vehicle Accident,4,2
7617,2023-04-03 16:17,Medical,1,4
7618,2023-02-16 22:07,Fire,4,9
7619,2023-02-27 09:24,Other,3,1
7620,2023-10-01 12:35,Motor Vehicle Accident,1,5
7621,2023-10-24 17:36,Fire,5,9
7622,2023-02-10 18:16,Emergency Transfer,4,6
7623,2023-08-06 11:30,Medical,1,4
7624,2023-08-03 19:22,Motor Vehicle Accident,12,8
7625,2023-01-17 00:48,Motor Vehicle Accident,5,6
7626,2023-06-27 12:33,Other,1,0
7627,2023-01-11 17:36,Airport Standby,5,9
7628,2023-07-14 18:17,Medical,12,5
7629,2023-02-10 15:27,Motor Vehicle Accident,12,3
7630,2023-10-25 15:45,Medical,1,4
7631,2023-11-20 11:06,Other,5,8
7632,2023-11-29 09:11,Motor Vehicle Accident,1,5
7633,2023-08-24 20:34,Other,4,6
7634,2023-01-10 15:59,Fire,1,8
7635,2023-12-23 08:22,Medical,3,1
7636,2023-08-25 17:22,Other,12,8
7637,2023-03-07 08:07,Medical,5,5
7638,2023-06-29 23:21,Fire,11,1
7639,2023-04-09 07:21,Motor Vehicle Accident,1,1
7640,2023-10-31 12:26,Motor Vehicle Accident,9,4
7641,2023-07-14 21:15,Medical,1,6
7642,2023-11-23 23:02,Medical,4,2
7643,2023-06-03 12:31,Motor Vehicle Accident,4,8
7644,2023-11-22 05:39,Other,12,7
7645,2023-02-26 10:07,Emergency Transfer,4,6
7646,2023-02-27 00:34,Motor Vehicle Accident,4,3
7647,2023-10-21 04:40,Motor Vehicle Accident,5,4
7648,2023-02-03 18:39,Motor Vehicle Accident,11,4
7649,2023-05-21 14:01,Fire,5,11
7650,2023-07-01 16:06,Medical,4,4
7651,2023-03-12 09:30,Motor Vehicle Accident,3,4
7652,2023-09-24 21:35,Medical,5,7
7653,2023-01-17 07:41,Other,5,5
7654,2023-12-13 14:17,Other,9,4
7655,2023-10-02 22:17,Other,4,8
7656,2023-12-14 03:46,Other,3,7
7657,2023-06-22 10:20,Motor Vehicle Accident,5,5
7658,2023-09-11 13:34,Motor Vehicle Accident,5,3
7659,2023-01-07 13:27,Medical,3,2
7660,2023-05-17 01:52,Airport Standby,9,1
7661,2023-02-19 12:29,Emergency Transfer,3,5
7662,2023-12-21 19:51,Medical,3,5
7663,2023-11-22 00:42,Medical,5,7
7664,2023-12-21 15:22,Medical,3,4
7665,2023-05-15 17:18,Motor Vehicle Accident,4,9
7666,2023-10-19 16:56,Emergency Transfer,4,4
7667,2023-03-24 13:56,Motor Vehicle Accident,3,7
7668,2023-06-13 03:15,Motor Vehicle Accident,5,7
7669,2023-04-24 18:09,Medical,13,2
7670,2023-08-30 12:25,Motor Vehicle Accident,1,7
7671,2023-08-18 21:02,Medical,1,4
7672,2023-09-19 03:48,Medical,9,0
7673,2023-10-13 20:22,Medical,12,8
7674,2023-10-05 12:43,Motor Vehicle Accident,14,3
7675,2023-08-26 20:16,Medical,1,6
7676,2023-07-02 07:39,Other,4,5
7677,2023-09-21 23:34,Other,1,4
7678,2023-08-21 08:24,Other,1,8
7679,2023-05-26 07:33,Other,5,5
7680,2023-12-07 20:14,Medical,3,2
7681,2023-05-07 06:36,Fire,4,4
7682,2023-07-04 18:11,Medical,4,2
7683,2023-02-06 11:30,Medical,3,7
7684,2023-10-30 09:40,Motor Vehicle Accident,5,9
7685,2023-01-30 13:44,Medical,9,4
7686,2023-03-03 00:51,Motor Vehicle Accident,12,8
7687,2023-11-06 04:59,Motor Vehicle Accident,3,7
7688,2023-09-18 15:50,Fire,4,6
7689,2023-04-22 10:30,Other,4,3
7690,2023-12-01 00:07,Motor Vehicle Accident,5,7
7691,2023-11-18 19:14,Motor Vehicle Accident,5,2
7692,2023-10-21 14:10,Medical,9,7
7693,2023-11-01 14:46,Emergency Transfer,3,10
7694,2023-01-17 14:39,Medical,1,5
7695,2023-11-24 07:02,Fire,13,10
7696,2023-05-16 03:30,Other,3,9
7697,2023-03-13 23:36,Medical,11,6
7698,2023-08-05 19:15,Motor Vehicle Accident,1,3
7699,2023-08-11 06:34,Fire,1,1
7700,2023-12-09 17:54,Other,9,8
7701,2023-04-22 05:18,Fire,4,1
7702,2023-11-25 02:34,Fire,1,5
7703,2023-03-06 04:58,Motor Vehicle Accident,5,3
7704,2023-06-18 04:22,Motor Vehicle Accident,4,5
7705,2023-11-28 12:32,Emergency Transfer,9,6
7706,2023-06-28 13:20,Other,4,2
7707,2023-01-04 13:11,Motor Vehicle Accident,5,2
7708,2023-09-01 23:07,Motor Vehicle Accident,4,5
7709,2023-03-10 09:32,Other,11,6
7710,2023-04-25 06:49,Motor Vehicle Accident,4,4
7711,2023-08-30 14:53,Fire,4,1
7712,2023-09-06 10:33,Medical,1,14
7713,2023-07-06 07:45,Motor Vehicle Accident,11,6
7714,2023-10-30 09:03,Fire,3,6
7715,2023-01-09 09:41,Motor Vehicle Accident,3,4
7716,2023-12-26 22:58,Fire,1,6
7717,2023-01-09 21:21,Motor Vehicle Accident,1,5
7718,2023-01-04 13:43,Motor Vehicle Accident,9,1
7719,2023-04-17 20:02,Medical,5,2
7720,2023-05-05 09:33,Motor Vehicle Accident,3,3
7721,2023-04-04 04:44,Medical,11,5
7722,2023-09-24 11:02,Medical,4,4
7723,2023-11-24 13:54,Other,4,7
7724,2023-12-12 21:22,Other,1,8
7725,2023-04-14 22:50,Motor Vehicle Accident,3,4
7726,2023-10-25 23:29,Medical,13,7
7727,2023-11-19 05:38,Motor Vehicle Accident,5,5
7728,2023-04-20 20:26,Fire,3,8
7729,2023-03-31 15:36,Fire,4,4
7730,2023-11-09 19:53,Fire,5,1
7731,2023-07-14 02:53,Medical,5,6
7732,2023-04-16 17:26,Motor Vehicle Accident,13,3
7733,2023-08-01 12:39,Fire,13,5
7734,2023-02-26 04:04,Motor Vehicle Accident,3,4
7735,2023-11-19 15:23,Medical,4,7
7736,2023-08-24 22:56,Motor Vehicle Accident,4,9
7737,2023-05-29 04:29,Other,5,6
7738,2023-08-07 19:54,Motor Vehicle Accident,1,2
7739,2023-07-25 03:52,Medical,1,2
7740,2023-10-11 18:08,Medical,1,7
7741,2023-03-12 21:53,Airport Standby,5,10
7742,2023-10-06 13:34,Fire,11,5
7743,2023-02-21 09:34,Medical,3,8
7744,2023-06-18 07:54,Medical,4,7
7745,2023-10-25 05:09,Motor Vehicle Accident,3,8
7746,2023-11-17 21:05,Other,12,6
7747,2023-07-29 10:46,Other,5,5
7748,2023-05-06 23:03,Motor Vehicle Accident,4,8
7749,2023-12-19 17:52,Other,5,8
7750,2023-10-03 21:18,Medical,3,7
7751,2023-01-04 00:58,Airport Standby,3,2
7752,2023-10-16 12:36,Other,4,2
7753,2023-03-24 04:40,Medical,11,0
7754,2023-12-14 16:21,Medical,1,6
7755,2023-11-06 18:31,Medical,3,4
7756,2023-03-15 12:20,Fire,1,9
7757,2023-04-13 05:13,Medical,1,4
7758,2023-08-08 03:39,Medical,9,8
7759,2023-08-23 08:41,Other,11,8
7760,2023-01-14 04:33,Medical,5,0
7761,2023-08-13 05:21,Medical,3,4
7762,2023-04-20 12:17,Medical,11,11
7763,2023-01-11 23:38,Other,4,3
7764,2023-08-05 01:52,Medical,3,5
7765,2023-11-02 01:34,Medical,1,3
7766,2023-07-27 10:25,Motor Vehicle Accident,4,6
7767,2023-09-12 09:42,Medical,4,2
7768,2023-12-06 04:26,Medical,9,14
7769,2023-01-06 15:40,Motor Vehicle Accident,4,7
7770,2023-10-13 08:48,Motor Vehicle Accident,9,9
7771,2023-11-19 00:53,Medical,5,9
7772,2023-12-31 12:16,Medical,3,7
7773,2023-10-20 10:56,Motor Vehicle Accident,1,3
7774,2023-08-23 00:52,Fire,4,2
7775,2023-11-25 18:22,Medical,11,2
7776,2023-05-18 17:10,Medical,3,9
7777,2023-09-12 14:52,Motor Vehicle Accident,4,6
7778,2023-04-13 16:18,Medical,5,2
7779,2023-10-02 07:45,Medical,3,8
7780,2023-02-02 14:43,Other,1,8
7781,2023-01-14 15:08,Medical,3,4
7782,2023-05-22 06:41,Medical,1,9
7783,2023-02-06 21:31,Medical,1,5
7784,2023-06-29 12:59,Motor Vehicle Accident,5,6
7785,2023-09-16 07:26,Fire,5,4
7786,2023-08-25 09:09,Medical,3,3
7787,2023-09-28 08:29,Medical,9,6
7788,2023-03-07 17:28,Medical,5,4
7789,2023-06-18 20:53,Medical,4,6
7790,2023-01-09 23:40,Other,1,9
7791,2023-01-18 12:03,Fire,1,5
7792,2023-03-30 12:15,Medical,5,7
7793,2023-07-05 17:01,Emergency Transfer,5,5
7794,2023-12-22 05:01,Other,3,3
7795,2023-11-23 22:00,Motor Vehicle Accident,9,7
7796,2023-12-08 21:01,Fire,9,7
7797,2023-12-19 04:27,Airport Standby,9,6
7798,2023-07-02 05:36,Emergency Transfer,4,4
7799,2023-03-19 03:06,Fire,9,5
7800,2023-01-09 18:03,Fire,3,1
7801,2023-03-14 18:34,Emergency Transfer,11,1
7802,2023-04-11 17:43,Medical,4,8
7803,2023-08-13 02:13,Emergency Transfer,11,9
7804,2023-12-04 04:40,Emergency Transfer,11,8
7805,2023-03-18 08:13,Motor Vehicle Accident,5,8
7806,2023-10-16 09:42,Motor Vehicle Accident,9,9
7807,2023-08-08 21:57,Medical,3,5
7808,2023-11-28 18:33,Fire,9,9
7809,2023-06-19 12:10,Medical,4,6
7810,2023-02-09 08:48,Medical,12,8
7811,2023-05-11 13:53,Other,4,5
7812,2023-12-14 23:45,Fire,3,7
7813,2023-11-06 00:56,Medical,4,8
7814,2023-03-24 14:31,Motor Vehicle Accident,5,1
7815,2023-08-30 10:06,Medical,1,4
7816,2023-10-18 00:00,Medical,3,2
7817,2023-02-07 12:31,Motor Vehicle Accident,1,6
7818,2023-06-30 01:01,Motor Vehicle Accident,4,8
7819,2023-04-30 13:26,Medical,3,7
7820,2023-02-23 16:16,Emergency Transfer,9,3
7821,2023-12-16 17:54,Motor Vehicle Accident,3,3
7822,2023-10-22 03:58,Motor Vehicle Accident,3,3
7823,2023-09-10 01:52,Fire,1,1
7824,2023-04-12 00:56,Emergency Transfer,4,6
7825,2023-12-11 05:19,Motor Vehicle Accident,3,3
7826,2023-04-19 21:35,Other,4,2
7827,2023-07-24 18:38,Motor Vehicle Accident,5,4
7828,2023-08-28 23:37,Motor Vehicle Accident,12,9
7829,2023-01-25 17:38,Other,12,5
7830,2023-12-06 20:20,Fire,11,2
7831,2023-10-13 08:39,Medical,5,6
7832,2023-01-27 23:15,Medical,3,4
7833,2023-06-14 00:37,Medical,9,3
7834,2023-03-17 00:20,Motor Vehicle Accident,3,10
7835,2023-09-27 14:32,Fire,11,3
7836,2023-09-14 02:50,Motor Vehicle Accident,5,6
7837,2023-10-25 22:09,Fire,3,3
7838,2023-11-19 00:05,Medical,1,2
7839,2023-08-20 11:03,Motor Vehicle Accident,9,8
7840,2023-05-20 18:06,Motor Vehicle Accident,4,4
7841,2023-02-27 07:56,Motor Vehicle Accident,3,9
7842,2023-02-26 01:22,Fire,9,7
7843,2023-03-11 17:27,Other,13,4
7844,2023-01-17 09:48,Medical,1,3
7845,2023-07-25 12:37,Other,4,3
7846,2023-01-05 10:59,Motor Vehicle Accident,4,7
7847,2023-10-23 14:14,Fire,4,7
7848,2023-10-08 16:06,Motor Vehicle Accident,4,1
7849,2023-04-19 14:11,Motor Vehicle Accident,4,6
7850,2023-07-23 06:58,Fire,4,2
7851,2023-12-24 15:08,Motor Vehicle Accident,9,8
7852,2023-06-07 12:40,Emergency Transfer,1,9
7853,2023-10-31 21:56,Motor Vehicle Accident,13,9
7854,2023-09-06 23:17,Motor Vehicle Accident,1,2
7855,2023-10-13 20:01,Fire,1,8
7856,2023-09-23 15:42,Motor Vehicle Accident,4,5
7857,2023-04-30 05:56,Medical,5,1
7858,2023-08-29 09:08,Other,5,3
7859,2023-01-01 16:02,Medical,4,2
7860,2023-06-02 04:31,Medical,5,11
7861,2023-08-14 09:46,Other,1,4
7862,2023-02-23 01:45,Motor Vehicle Accident,5,6
7863,2023-12-23 02:26,Medical,12,9
7864,2023-05-26 14:19,Motor Vehicle Accident,4,3
7865,2023-12-31 15:02,Medical,9,5
7866,2023-09-27 08:41,Motor Vehicle Accident,1,7
7867,2023-07-01 14:50,Medical,1,5
7868,2023-12-29 17:13,Medical,4,7
7869,2023-09-14 18:39,Motor Vehicle Accident,3,2
7870,2023-11-16 02:57,Medical,9,8
7871,2023-02-20 04:17,Motor Vehicle Accident,4,8
7872,2023-04-16 15:00,Motor Vehicle Accident,1,4
7873,2023-03-05 23:32,Medical,9,9
7874,2023-07-08 05:57,Emergency Transfer,4,4
7875,2023-12-21 14:48,Motor Vehicle Accident,4,4
7876,2023-04-25 13:45,Other,5,6
7877,2023-07-11 02:27,Medical,13,5
7878,2023-11-18 05:26,Medical,5,5
7879,2023-11-24 18:51,Motor Vehicle Accident,4,3
7880,2023-07-01 20:17,Other,1,2
7881,2023-09-23 04:31,Other,3,6
7882,2023-03-23 14:07,Fire,3,9
7883,2023-11-12 02:47,Medical,12,4
7884,2023-06-21 06:28,Emergency Transfer,4,5
7885,2023-02-07 20:45,Motor Vehicle Accident,4,13
7886,2023-03-14 17:25,Airport Standby,11,1
7887,2023-10-10 08:04,Medical,4,2
7888,2023-02-15 20:30,Motor Vehicle Accident,3,8
7889,2023-12-12 22:02,Motor Vehicle Accident,1,4
7890,2023-12-16 00:58,Medical,3,3
7891,2023-06-23 18:51,Emergency Transfer,13,11
7892,2023-07-26 10:40,Motor Vehicle Accident,13,10
7893,2023-05-19 12:31,Medical,4,7
7894,2023-12-14 00:50,Motor Vehicle Accident,9,10
7895,2023-08-09 07:17,Motor Vehicle Accident,5,1
7896,2023-03-10 19:07,Fire,4,5
7897,2023-03-17 03:55,Medical,4,5
7898,2023-11-01 19:05,Fire,4,3
7899,2023-09-21 02:30,Other,1,1
7900,2023-03-21 19:05,Fire,5,8
7901,2023-12-01 09:54,Motor Vehicle Accident,4,4
7902,2023-02-24 16:40,Medical,4,11
7903,2023-01-17 22:44,Motor Vehicle Accident,11,6
7904,2023-09-10 12:59,Fire,3,5
7905,2023-06-02 15:59,Medical,3,6
7906,2023-03-28 16:35,Medical,4,9
7907,2023-03-13 02:54,Medical,11,4
7908,2023-05-16 12:23,Motor Vehicle Accident,3,0
7909,2023-05-01 03:15,Motor Vehicle Accident,4,6
7910,2023-06-09 23:46,Motor Vehicle Accident,1,8
7911,2023-01-08 17:04,Other,9,10
7912,2023-07-04 01:05,Motor Vehicle Accident,4,3
7913,2023-07-26 14:32,Motor Vehicle Accident,4,11
7914,2023-04-07 02:00,Other,5,4
7915,2023-02-18 16:38,Motor Vehicle Accident,4,3
7916,2023-03-14 13:58,Motor Vehicle Accident,3,5
7917,2023-04-28 10:50,Fire,9,2
7918,2023-07-31 01:31,Motor Vehicle Accident,9,5
7919,2023-10-23 13:45,Medical,9,5
7920,2023-11-23 01:57,Medical,14,1
7921,2023-06-15 16:19,Medical,14,8
7922,2023-07-03 13:31,Motor Vehicle Accident,3,5
7923,2023-02-22 06:13,Medical,12,9
7924,2023-01-09 09:59,Motor Vehicle Accident,4,11
7925,2023-10-09 21:35,Motor Vehicle Accident,4,5
7926,2023-02-20 04:21,Other,14,9
7927,2023-01-20 00:30,Medical,9,11
7928,2023-04-22 06:47,Emergency Transfer,3,4
7929,2023-08-04 10:31,Motor Vehicle Accident,11,3
7930,2023-01-09 17:33,Motor Vehicle Accident,4,7
7931,2023-05-16 09:02,Fire,3,5
7932,2023-07-29 01:01,Fire,1,7
7933,2023-12-03 02:38,Emergency Transfer,4,3
7934,2023-09-23 06:49,Emergency Transfer,3,6
7935,2023-02-28 22:33,Medical,4,5
7936,2023-03-01 04:47,Medical,3,11
7937,2023-02-10 09:04,Other,3,3
7938,2023-04-15 18:18,Medical,1,7
7939,2023-11-14 18:07,Motor Vehicle Accident,3,8
7940,2023-09-04 07:19,Other,9,8
7941,2023-07-29 21:35,Other,4,11
7942,2023-09-15 18:12,Fire,5,8
7943,2023-12-07 02:18,Medical,4,4
7944,2023-11-22 03:01,Other,1,5
7945,2023-07-08 21:02,Medical,4,6
7946,2023-07-12 06:55,Motor Vehicle Accident,4,5
7947,2023-10-10 04:55,Medical,4,9
7948,2023-12-11 12:42,Emergency Transfer,1,5
7949,2023-06-28 07:05,Medical,11,4
7950,2023-08-13 16:49,Medical,4,7
7951,2023-01-04 01:19,Medical,5,6
7952,2023-02-14 14:09,Medical,4,6
7953,2023-09-11 18:04,Medical,1,5
7954,2023-03-24 23:53,Airport Standby,3,8
7955,2023-03-02 13:16,Motor Vehicle Accident,9,4
7956,2023-05-10 15:30,Motor Vehicle Accident,4,9
7957,2023-07-29 17:02,Medical,1,7
7958,2023-10-03 13:35,Fire,3,6
7959,2023-01-21 19:04,Motor Vehicle Accident,3,8
7960,2023-07-09 19:47,Motor Vehicle Accident,4,4
7961,2023-07-09 07:28,Fire,5,8
7962,2023-01-14 19:58,Motor Vehicle Accident,9,3
7963,2023-12-08 18:11,Motor Vehicle Accident,4,1
7964,2023-11-09 10:58,Fire,1,5
7965,2023-06-01 19:53,Motor Vehicle Accident,5,6
7966,2023-10-12 17:07,Other,9,3
7967,2023-12-07 08:15,Medical,5,7
7968,2023-05-02 22:59,Motor Vehicle Accident,9,6
7969,2023-03-31 18:49,Medical,3,9
7970,2023-05-07 11:48,Other,3,5
7971,2023-03-01 10:57,Emergency Transfer,9,7
7972,2023-07-16 03:46,Emergency Transfer,12,3
7973,2023-11-11 05:41,Motor Vehicle Accident,9,7
7974,2023-02-22 11:15,Motor Vehicle Accident,9,5
7975,2023-10-26 19:50,Fire,12,4
7976,2023-09-24 02:45,Other,5,5
7977,2023-07-18 16:58,Medical,4,5
7978,2023-12-30 15:05,Emergency Transfer,1,3
7979,2023-03-25 12:02,Other,4,6
7980,2023-05-04 17:26,Medical,3,5
7981,2023-10-14 10:15,Other,4,6
7982,2023-04-18 15:01,Medical,5,8
7983,2023-06-11 07:10,Fire,3,11
7984,2023-11-10 12:41,Motor Vehicle Accident,12,7
7985,2023-03-09 09:03,Motor Vehicle Accident,11,10
7986,2023-03-26 02:17,Medical,5,5
7987,2023-08-24 16:41,Fire,4,5
7988,2023-06-22 11:35,Medical,3,1
7989,2023-06-01 18:16,Emergency Transfer,3,6
7990,2023-09-03 04:58,Medical,13,5
7991,2023-07-02 07:28,Medical,4,7
7992,2023-12-22 03:12,Other,4,4
7993,2023-06-24 17:05,Emergency Transfer,4,4
7994,2023-10-19 14:19,Other,3,6
7995,2023-06-15 08:08,Other,3,5
7996,2023-08-17 04:25,Medical,4,4
7997,2023-06-11 23:41,Fire,11,6
7998,2023-01-15 06:06,Fire,4,6
7999,2023-07-05 19:22,Emergency Transfer,4,6
8000,2023-10-13 08:29,Medical,4,13
8001,2023-05-02 22:39,Medical,14,9
8002,2023-01-29 03:33,Other,3,2
8003,2023-09-17 10:04,Motor Vehicle Accident,1,4
8004,2023-11-21 19:08,Motor Vehicle Accident,4,4
8005,2023-01-30 15:32,Motor Vehicle Accident,1,10
8006,2023-06-19 05:46,Airport Standby,1,8
8007,2023-12-19 05:28,Medical,5,7
8008,2023-06-30 06:31,Medical,4,5
8009,2023-08-09 17:41,Medical,9,6
8010,2023-10-05 12:35,Other,3,7
8011,2023-09-27 09:13,Other,4,0
8012,2023-03-04 12:25,Medical,4,2
8013,2023-09-10 12:13,Fire,3,10
8014,2023-03-16 22:25,Motor Vehicle Accident,5,10
8015,2023-03-28 18:23,Medical,4,7
8016,2023-10-14 09:24,Motor Vehicle Accident,4,5
8017,2023-01-30 08:37,Medical,13,5
8018,2023-01-23 04:27,Motor Vehicle Accident,5,8
8019,2023-08-17 19:10,Motor Vehicle Accident,1,4
8020,2023-02-17 21:59,Motor Vehicle Accident,3,6
8021,2023-12-20 13:47,Medical,9,5
8022,2023-12-15 05:08,Medical,4,2
8023,2023-06-29 01:47,Medical,4,0
8024,2023-09-19 09:09,Emergency Transfer,5,11
8025,2023-09-04 15:39,Motor Vehicle Accident,13,2
